date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:33	188660/188660	---M--	200	added ('OK')	application/json	date:Thu,%2003%20Aug%202023%2022:07:35%20GMT	https://tnsolutions.ca/wp-json/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-json/index.html	(from https://tnsolutions.ca/)
18:07:35	27778/27778	---M--	200	added ('OK')	application/json	date:Thu,%2003%20Aug%202023%2022:07:37%20GMT	https://tnsolutions.ca/wp-json/wp/v2/pages/8	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-json/wp/v2/pages/8.json	(from https://tnsolutions.ca/)
18:07:35	83/83	---M--	409	error ('Conflict')	text/html	date:Thu,%2003%20Aug%202023%2022:07:37%20GMT	https://tnsolutions.ca/xmlrpc.php?rsd	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/xmlrpc0db0.php	(from https://tnsolutions.ca/)
18:07:35	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2003%20Aug%202023%2022:07:37%20GMT	https://tnsolutions.ca/wp-includes/wlwmanifest.xml	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-includes/wlwmanifest.xml	(from https://tnsolutions.ca/)
18:07:38	2370/2370	---M--	200	added ('OK')	application/json	date:Thu,%2003%20Aug%202023%2022:07:40%20GMT	https://tnsolutions.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftnsolutions.ca%2F	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-json/oembed/1.0/embedb883.json	(from https://tnsolutions.ca/)
18:07:39	2441/2441	---M--	200	added ('OK')	text/xml	date:Thu,%2003%20Aug%202023%2022:07:41%20GMT	https://tnsolutions.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftnsolutions.ca%2F&format=xml	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-json/oembed/1.0/embed2d7f	(from https://tnsolutions.ca/)
18:07:40	34650/34650	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Dec%202022%2013:11:47%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/09/lloogg.png	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/09/lloogg.png	(from https://tnsolutions.ca/)
18:07:40	21641/21641	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Sep%202022%2012:33:39%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/09/logo-e1663936419478.png	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/09/logo-e1663936419478.png	(from https://tnsolutions.ca/)
18:07:40	3655/3655	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2007:23:03%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/12/Sign-up.png	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/12/Sign-up.png	(from https://tnsolutions.ca/)
18:07:40	3359/3359	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2007:23:03%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/12/Customized-Service.png	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/12/Customized-Service.png	(from https://tnsolutions.ca/)
18:07:40	3746/3746	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2007:23:03%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/12/Multiple-Currencies.png	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/12/Multiple-Currencies.png	(from https://tnsolutions.ca/)
18:07:42	3536/3536	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2007:23:04%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/12/Simple.png	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/12/Simple.png	(from https://tnsolutions.ca/)
18:07:43	3383/3383	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2007:23:04%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/12/Real-Time-Payments.png	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/12/Real-Time-Payments.png	(from https://tnsolutions.ca/)
18:07:43	106895/106895	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202023%2000:17:23%20GMT	https://tnsolutions.ca/solutions/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/solutions/index.html	(from https://tnsolutions.ca/)
18:07:43	100151/100151	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202023%2000:17:23%20GMT	https://tnsolutions.ca/about-us/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/about-us/index.html	(from https://tnsolutions.ca/)
18:07:44	105322/105322	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202023%2000:17:20%20GMT	https://tnsolutions.ca/faq/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/faq/index.html	(from https://tnsolutions.ca/)
18:07:44	128521/128521	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202023%2000:17:20%20GMT	https://tnsolutions.ca/contact-us/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/contact-us/index.html	(from https://tnsolutions.ca/)
18:07:44	3583/3583	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2007:23:04%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/12/Visibility-and-Control.png	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/12/Visibility-and-Control.png	(from https://tnsolutions.ca/)
18:07:44	58847/58847	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Nov%202022%2011:07:38%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/11/FCC1.jpg	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/11/FCC1.jpg	(from https://tnsolutions.ca/)
18:07:44	67721/67721	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Dec%202022%2009:00:37%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/12/FCC2-copy.jpg	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/12/FCC2-copy.jpg	(from https://tnsolutions.ca/)
18:07:44	22796/22796	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Sep%202022%2014:45:10%20GMT	https://tnsolutions.ca/wp-content/uploads/2022/09/3d-BG-01.jpg	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/uploads/2022/09/3d-BG-01.jpg	(from https://tnsolutions.ca/)
18:07:45	0/0	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Mar%202023%2007:37:03%20GMT	https://tnsolutions.ca/wp-content/plugins/jeg-elementor-kit/lib/jeg-framework/assets/css/jeg-dynamic-styles.css?ver=1.2.9	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/jeg-elementor-kit/lib/jeg-framework/assets/css/jeg-dynamic-styles077c.css	(from https://tnsolutions.ca/)
18:07:45	599/599	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Mar%202023%2006:24:47%20GMT	https://tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/stickThis.js?ver=1679552687	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/stickThis6f67.js	(from https://tnsolutions.ca/)
18:07:45	217/217	---M--	403	error ('Forbidden')	text/html	date:Thu,%2003%20Aug%202023%2022:07:45%20GMT	https://tnsolutions.ca/newsite/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/newsite/index.html	(from https://tnsolutions.ca/)
18:07:45	3164/3164	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Sep%202022%2013:20:57%20GMT	https://tnsolutions.ca/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=1.0.0	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/themes/hello-elementor/assets/js/hello-frontend.min8a54.js	(from https://tnsolutions.ca/)
18:07:45	4958/4958	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202023%2016:44:41%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.11.5	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/js/webpack.runtime.mina3be.js	(from https://tnsolutions.ca/)
18:07:46	36460/36460	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202023%2016:44:41%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.11.5	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/js/frontend-modules.mina3be.js	(from https://tnsolutions.ca/)
18:07:46	12198/12198	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://tnsolutions.ca/)
18:07:46	21438/21438	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2012%20Apr%202023%2001:39:22%20GMT	https://tnsolutions.ca/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-includes/js/jquery/ui/core.min3f14.js	(from https://tnsolutions.ca/)
18:07:46	41906/41906	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202023%2016:44:41%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.11.5	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/js/frontend.mina3be.js	(from https://tnsolutions.ca/)
18:07:46	4448/4448	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Mar%202023%2006:24:47%20GMT	https://tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/jeg-elementor-kit/assets/js/elements/sticky-element.js?ver=1679552687	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/jeg-elementor-kit/assets/js/elements/sticky-element6f67.js	(from https://tnsolutions.ca/)
18:07:47	3231/3231	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Mar%202023%2006:24:47%20GMT	https://tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/jeg-elementor-kit/assets/js/elements/nav-menu.js?ver=1679552687	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/jeg-elementor-kit/assets/js/elements/nav-menu6f67.js	(from https://tnsolutions.ca/)
18:07:47	3500/3500	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Mar%202023%2006:24:47%20GMT	https://tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/jeg-elementor-kit/assets/js/elements/animated-text.js?ver=1679552687	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/jeg-elementor-kit/assets/js/elements/animated-text6f67.js	(from https://tnsolutions.ca/)
18:07:47	2266/2266	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Mar%202023%2006:24:47%20GMT	https://tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/jeg-elementor-kit/assets/js/elements/mailchimp.js?ver=1679552687	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/cache/min/1/wp-content/plugins/jeg-elementor-kit/assets/js/elements/mailchimp6f67.js	(from https://tnsolutions.ca/)
18:07:47	8291/8291	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2022%20Mar%202023%2019:05:41%20GMT	https://tnsolutions.ca/wp-content/plugins/wp-rocket/assets/js/lazyload/17.5/lazyload.min.js	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/wp-rocket/assets/js/lazyload/17.5/lazyload.min.js	(from https://tnsolutions.ca/)
18:07:47	83/83	---M--	409	error ('Conflict')	text/html	date:Thu,%2003%20Aug%202023%2022:07:47%20GMT	https://tnsolutions.ca/xmlrpc.php	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/xmlrpc.html	(from https://tnsolutions.ca/)
18:07:48	431/431	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Mar%202023%2007:37:02%20GMT	https://tnsolutions.ca/wp-content/plugins/jeg-elementor-kit/assets/img/letter-x.svg	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/jeg-elementor-kit/assets/img/letter-x.svg	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:48	212956/212956	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.18.0	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsd6bb.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:48	93868/93868	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.18.0	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsd6bb-2.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:48	114948/114948	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.18.0	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsd6bb-3.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:48	212796/212796	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.18.0	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsd6bb-4.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:49	320312/320312	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.18.0	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsd6bb.svg	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:49	134346/134346	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:49	134346/134346	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot?	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400d41d.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:49	76764/76764	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-401.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:49	90060/90060	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-402.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:50	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Aug%202023%2022:07:50%20GMT	https://tnsolutions.ca/?jkit-ajax-request=jkit_elements	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/indexe2f2.html	(from https://tnsolutions.ca/)
18:07:50	134040/134040	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-403.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:50	34034/34034	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:50	747545/747545	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:50	34034/34034	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot?	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400d41d.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:51	13276/13276	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-401.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:51	16276/16276	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-402.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:51	33736/33736	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-403.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:51	144714/144714	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:52	203030/203030	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
18:07:52	203030/203030	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot?	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900d41d.html	(from https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css)
